localization_order,RMSE
1,0.8874896402698057
2,2.0254778360475085
3,2.4089152220537264
4,2.6147435363741267
5,2.785701117737312
6,2.8206310904824
7,2.9476672578420318
8,2.9051326587219948
9,2.9093789758564443
10,2.601105576272117
11,2.683950925950278
12,2.6667544312883007
13,2.768101875520225
14,2.709342714720035
15,2.5793744551429496
16,2.577999173331989
17,2.563108338518375
18,2.533945991527355
19,3.0429571489207987
20,3.1294567139429796
