convex_hull_volume,distance_from_center_of_field_to_target,residual_avg,error
50,12.30404684,0.103883752,1.139659834
50,6.475033198,0.106977718,0.162781629
75.05701433,11.32375719,0.192725342,0.731947142
80.33029302,9.662457449,0.459830068,0.822809897
105.8340741,10.74195218,0.171474318,0.437467858
97.39091208,10.78879811,0.127098616,0.932407235
82.67709723,10.87694174,0.355138315,0.682302063
34.26459198,17.50722807,0.241684499,0.185214172
186.2796607,9.606529181,0.618035654,0.866537035
245.4861391,5.876274662,0.182144736,0.51516279
92.34194295,16.50274397,1.144457681,0.242299911
137.3679397,16.5213672,0.157472588,0.910511753
265.0376105,7.685036618,0.381426842,0.327437139
232.78513,10.39871775,0.186695139,0.823003029
153.3289311,12.501935,0.148438363,0.219576322
264.9864667,12.58311843,0.526657434,0.120417995
24.53033308,19.93066362,0.155320057,1.579767427
184.3110486,12.91376743,0.139278172,0.584716814
302.9506585,17.23647564,0.558196886,0.717472583
225.2382345,11.41565788,0.272701368,0.566829746
50,12.0792098,0.730855126,0.909110363
100,8.451052782,0.179872715,0.192413487
105.5347582,9.377683187,0.426494805,0.575661981
10.25578717,17.24259629,0.000338554,0.04497153
113.8644752,14.3867512,0.098414562,0.784627707
191.1418278,16.96470838,0.398215809,0.838818023
66.1678078,6.726948794,1.004425281,0.578690833
94.15970809,9.256149471,0.094627615,0.410050144
151.2653236,3.025200881,0.378056812,0.981723034
369.6424365,8.08453409,0.095027437,0.329542421
170.3440257,8.364362522,0.40880431,0.638261792
133.5717263,16.34931364,0.248586368,0.366685823
311.4752394,12.99856141,0.136673506,0.095658796
173.8365974,13.28931635,0.187138144,0.416869535
189.8013432,12.10595173,0.168785827,0.144597509
121.3078018,15.70129154,0.233422103,0.490396438
389.5592896,15.38132586,0.535706822,0.566356185
126.3484683,17.29502505,0.129831681,2.268847101
218.7831522,19.3639453,0.68996492,0.866536078
402.0771139,11.42210884,0.554372043,0.741144541
50,7.34760805,0.021660293,0.672137867
7.070315092,11.37055681,0.265612117,0.168442242
129.4728026,1.978090565,0.041228035,0.428938409
15.33427241,8.589469214,0.000785075,2.407948328
139.4507281,2.683132095,0.665764142,0.792219545
117.0482406,5.909559318,0.184955397,0.5818133
59.97792551,10.78218829,1.514882293,0.575757197
141.1310073,10.6674898,0.040558996,0.435298511
113.8287726,8.233166122,0.888211892,1.342704868
82.95790094,6.441705852,0.138662338,1.158678859
87.57179072,11.46007293,0.075160306,0.380175711
19.63167277,16.3667957,0.166419765,1.274240877
121.8491541,9.430126192,0.267594898,0.623499167
124.0911346,13.00245233,0.528231928,0.458737048
203.6991126,9.470731147,0.945321634,0.078357251
263.8778067,11.44129999,0.388789549,0.695465465
244.5493085,12.12207793,0.66685149,0.374594727
215.8576071,11.19160183,0.871608417,0.652612489
85.43405355,14.45941399,0.574169973,0.916650898
252.098501,10.3387963,0.437508694,0.717747208
50,6.773999206,0.170142923,0.960394489
100.6125096,9.881100998,0.032975081,0.028689712
100.6125096,9.641706008,0.389798519,0.291851209
73.42857108,10.2521542,0.152027609,0.244317867
16.7098892,11.81644755,0.635345002,0.260816412
92.47538697,9.560389471,0.04359558,0.514570938
88.65220023,7.408338941,0.020095355,0.530355894
115.3084923,14.3968086,0.378072704,0.383523389
212.3973271,4.798139679,0.326652588,0.661023707
55.5524376,8.976371555,0.793595891,0.690292924
32.79173466,18.72176332,0.005424472,0.784069529
157.6305995,8.553787954,0.556435962,0.39294025
123.9061655,10.02414102,0.177786072,0.699351211
98.35837342,11.07893197,0.389381223,0.123458138
304.1280449,13.09839473,0.292076486,0.676743092
201.4748266,13.81887315,0.230413406,0.381251305
200.9177414,13.1460705,0.438576544,0.165227116
210.3260902,8.051227003,0.296105123,0.624270278
